"word","zh","en_sentence","zh_sentence"
"snack","點心；小吃","I eat a snack after school every day.","我每天放學後都吃點心。"
"tool","工具","He uses a tool to fix the bike.","他用工具修理自行車。"
"letter","信；字母","I write a letter to my friend every week.","我每週都給朋友寫一封信。"
"envelope","信封","Put the letter inside the envelope.","把信放進信封裡。"
"ground","地面","The children sit on the ground to play.","孩子們坐在地面上玩。"
"R.O.C.","中華民國","The flag of the R.O.C. flies on the building.","中華民國的國旗飄揚在那棟建築上。"
"world","世界","He dreams of traveling around the world.","他夢想環遊世界。"
"seed","種子","She plants a seed in the pot.","她在花盆裡種下一粒種子。"
"other","其他","I have no other ideas right now.","目前我沒有其他想法。"
"taste","味道；嚐","Please taste the soup and tell me if it needs salt.","請嚐嚐湯，告訴我是否需要加鹽。"
"smell","氣味；聞","I smell cookies baking in the oven.","我聞到烤箱裡餅乾的香味。"
"sound","聲音；聽","Do you hear the sound of birds in the morning?","你聽到早晨鳥兒的聲音嗎？"
"feel","感覺","I feel cold when I go outside without a coat.","如果我不穿外套出門，我會感到寒冷。"
"large","大的","They lived in a large house near the lake.","他們住在靠近湖邊的一棟大房子裡。"
"heavy","重的","This box is too heavy for me to lift.","這個箱子對我來說太重了，無法抬起。"
"try","試做","I will try my best on the exam.","我會在考試中盡力而為。"
"comfortable","舒適的","This chair is very comfortable to sit on.","這張椅子坐起來非常舒適。"
"successful","成功的","She felt successful after finishing the race.","她跑完比賽後感到很成功。"
"famous","有名的","The famous singer visited our school.","那位有名的歌手來訪我們學校。"
"care","關心；喜歡","She takes care of her little brother every day.","她每天照顧她的弟弟。"
"careful","小心的","Be careful when you cross the street.","過馬路時要小心。"
"friendly","友善的","The neighbors are very friendly to us.","鄰居對我們非常友善。"
"fresh","新鮮的","We picked fresh strawberries from the farm.","我們從農場採摘了新鮮的草莓。"
"sweet","甜美的","The cake tastes sweet and soft.","蛋糕嘗起來甜美又鬆軟。"
"each","每一；每個","Each student must bring a pencil to class.","每個學生都必須帶鉛筆來上課。"
"swing","搖擺；鞦韆","The children love to swing at the playground.","孩子們喜歡在遊樂場的鞦韆上搖擺。"
"slide","滑動；滑坡","Please slide the door open slowly.","請慢慢地把門滑開。"
"hide","躲藏","He likes to hide behind the tree during games.","他喜歡在遊戲時躲在樹後面。"
"restaurant","餐廳","We celebrate our birthday at a restaurant.","我們在餐廳慶祝生日。"
"drop","掉落；滴下","Be careful not to drop the vase.","小心別把花瓶掉落。"
"move","搬；感動","Please help me move the table to the corner.","請幫我把桌子搬到角落。"
"paste","黏貼","Paste the picture into your notebook.","把圖片黏貼到你的筆記本上。"
"become","變成；成為","He wants to become a doctor when he grows up.","他長大後想成為一名醫生。"
"around","在…附近","There are many shops around the school.","學校附近有很多商店。"
"more","更多的","I want more pages to read.","我想要更多頁面來閱讀。"
"most","最多的；多數的","She has the most stickers in the class.","她在班上擁有最多的貼紙。"
"whose","誰的","Whose backpack is this on the desk?","桌上的書包是誰的？"
"than","比","My brother is taller than me.","我哥哥比我高。"
"heart","心臟","My heart beats fast when I run.","我跑步時心臟跳得很快。"
"arm","手臂","He holds the book in his arm.","他用手臂抱著書。"
"nail","指甲","Please clean under your nails after playing.","玩完後請把指甲底下清乾淨。"
"knee","膝蓋","He fell and hurt his knee during the game.","他在遊戲中跌倒，膝蓋受傷了。"
"shoulder","肩膀","Carry your bag on one shoulder.","把書包掛在一邊肩膀上。"
"part","部分","This is the best part of the story.","這是故事中最精彩的部分。"
"rest","休息","Take a rest before you continue studying.","在繼續學習前先休息一下。"
"cut","切；傷口","Be careful not to cut your finger when you slice the bread.","當你切麵包時，小心別割到手指。"
"fill","裝滿","Please fill the water bottle before the hike.","請在健行前把水瓶裝滿。"
"pack","包；裝箱","I need to pack my clothes for the weekend trip.","我需要為週末旅行把衣服打包。"
"package","包裹；包裝","The delivery man dropped off a package at our door.","送貨員把一個包裹放在我們家門口。"
"air","空氣","Open the window to let fresh air into the room.","打開窗戶讓新鮮空氣進入房間。"
"smoke","菸；抽菸","The campfire started to smoke when the wind blew.","風一吹，營火就冒起了煙。"
"earth","地球","Astronauts study earth from space.","太空人從太空中研究地球。"
"plant","植物；種植","We plant flowers in the garden every spring.","我們每年春天在花園裡種花。"
"life","生活；生命","Watching the city lights makes me appreciate life.","看著城市的燈光讓我更珍惜生活。"
"light","燈光；光線；輕的","Turn on the light so we can see the path.","打開燈光，讓我們看清道路。"
"tub","缸；盆；桶","She filled the tub with soapy water to wash the dog.","她把盆子裝滿肥皂水來幫狗洗澡。"
"mat","踏墊；墊子","Wipe your feet on the mat before entering the house.","進屋前請先在踏墊上擦腳。"
"candle","蠟燭","They lit a candle at the head of the birthday cake.","他們在生日蛋糕前插上一根蠟燭並點燃。"
"lamp","檯燈","She turned on the lamp to read her book at night.","她晚上打開檯燈看書。"
"fire","火","The campers gathered around the fire to roast marshmallows.","露營者聚集在火邊烤棉花糖。"
"wind","風","The wind blew her hair as she walked by the sea.","當她在海邊散步時，風吹動了她的頭髮。"
"sky","天空","The sky turned pink and orange during sunset.","夕陽時，天空變成粉紅色和橙色。"
"rainbow","彩虹","We saw a rainbow after the rain stopped.","雨停後我們看到了一道彩虹。"
"yet","尚未；然而","I haven’t finished my homework yet.","我尚未完成我的作業。"
"wave","波浪；海浪","The surfers rode the big wave at sunrise.","衝浪者在日出時騎著大浪。"
"rock","石頭","He skipped a rock across the pond.","他把一塊石頭在池塘上打水漂。"
"nature","大自然","We love exploring nature on our camping trips.","我們喜歡在露營旅行中探索大自然。"
"land","陸地；登陸","The plane will land in five minutes.","飛機將在五分鐘後降落。"
"pond","池塘","Ducks swim in the pond every morning.","鴨子每天早上在池塘裡游泳。"
"mud","泥巴","His shoes were covered in mud after the soccer game.","足球賽後，他的鞋子全是泥巴。"
"mountain","山","They hiked to the top of the mountain before dawn.","他們在破曉前爬上了那座山的山頂。"
"beach","海灘","We built a sandcastle on the beach yesterday.","我們昨天在海灘上堆了一座沙堡。"
"river","河流","The children played by the river on a sunny day.","孩子們在一個陽光明媚的日子裡在河邊玩耍。"
"lake","湖泊","They rented a boat on the lake for fishing.","他們在湖上租了一艘船去釣魚。"
"please","請；取悅","Please sit down and enjoy the show.","請坐下，欣賞表演。"
"chance","機會","I want to get a chance to perform in the school play.","我想得到機會在校園劇中表演。"
"prize","獎品","She won a prize for her drawing in the contest.","她在比賽中因畫作獲得獎品。"
"moment","時刻","Wait a moment, I need to tie my shoe.","等一下，我需要綁鞋帶。"
"giant","巨人；巨大的","In the fairy tale, a giant guards the castle.","在童話裡，一個巨人守護著城堡。"
"mile","英里","They ran five miles in the marathon.","他們在馬拉松中跑了五英里。"
"mad","生氣的；瘋狂的","He was so mad when he lost the game.","當他輸掉比賽時，他非常生氣。"
"lonely","孤獨的","She felt lonely after moving to a new city.","搬到新城市後，她感到很孤獨。"
"unhappy","不快樂的","He was unhappy because he missed the bus.","因為他錯過了公車，他感到不快樂。"
"shy","害羞的","She is too shy to speak in front of the class.","她太害羞，無法在全班面前講話。"
"ice","冰","The pond froze and turned to ice overnight.","池塘一夜之間結冰變成冰面。"
"loud","大聲的；吵鬧的","The music was so loud that we had to cover our ears.","音樂非常大聲，我們不得不用手捂住耳朵。"
"strange","奇怪的","It felt strange to walk in the dark forest.","在黑暗的森林中行走讓人感到奇怪。"
"both","兩者","Both of my sisters play piano.","我的兩個妹妹都會彈鋼琴。"
"bright","明亮的","The room is bright thanks to the large windows.","由於有大窗戶，這間房間很明亮。"
"convenient","便利的","Living near the station is very convenient.","住在車站附近非常便利。"
"fix","修理；確定","He learned how to fix his bike after it broke.","自行車壞了之後，他學會了如何修理。"
"choose","選擇","Choose a book you like for silent reading time.","在安靜閱讀時間，選擇一本你喜歡的書。"
"fact","事實","It’s a fact that plants need sunlight to grow.","植物需要陽光才能生長，這是一個事實。"
"cry","哭；大叫","Babies often cry when they are hungry.","嬰兒餓了時常常會哭。"
"smile","微笑","Her smile brightened everyone’s day.","她的微笑讓大家的心情都變好了。"
"save","拯救；儲存","Please save your work before you leave.","離開前請儲存你的作業。"
"tell","告訴","Can you tell me a story?","你可以告訴我一個故事嗎？"
"maybe","也許","Maybe we can go tomorrow.","也許我們可以明天去。"
"either","任一；也不","You can choose either answer.","你可以選擇任一個答案。"
"sit","坐","Please sit down.","請坐下。"
"quick","快速的","He is a quick runner.","他是個跑得快的人。"
"ticket","票","I bought a movie ticket.","我買了一張電影票。"
"carefully","小心地；仔細地","Read the question carefully.","仔細閱讀題目。"
"until","直到","Wait here until I come back.","在這裡等到我回來。"
"nothing","什麼也沒有","There’s nothing in the box.","盒子裡什麼也沒有。"
"must","必須","You must do your homework first.","你必須先做功課。"
"should","應該","You should eat more vegetables.","你應該多吃蔬菜。"
"bean","豆子","There are beans in the soup.","湯裡有豆子。"
"bun","小圓麵包","I ate a bun for breakfast.","我早餐吃了一個小圓麵包。"
"butter","奶油","She spread butter on the bread.","她把奶油抹在麵包上。"
"cheese","起司","I love pizza with extra cheese.","我喜歡加很多起司的披薩。"
"French fries","薯條","He ordered French fries for lunch.","他午餐點了薯條。"
"lettuce","萵苣；生菜","Put some lettuce in the sandwich.","在三明治裡放一些生菜。"
"steak","牛排","My father cooked steak for dinner.","我爸爸晚餐煎了牛排。"
"spaghetti","義大利麵","She likes spaghetti with tomato sauce.","她喜歡番茄醬義大利麵。"
"toast","吐司","I had toast and milk this morning.","我今天早上吃吐司配牛奶。"
"salad","沙拉","The salad has fresh vegetables.","沙拉裡有新鮮蔬菜。"
"order","點餐；命令；順序","I’d like to order a burger.","我想點一個漢堡。"
"ham","火腿","He put ham in his sandwich.","他把火腿放進三明治裡。"
"menu","菜單","Can I see the menu?","我可以看菜單嗎？"
"castle","城堡","The old castle is on the hill.","那座古老的城堡在山丘上。"
"king","國王","The king ruled the country.","國王統治這個國家。"
"queen","女王","The queen waved to the crowd.","女王向人群揮手。"
"prince","王子","The prince lives in the castle.","王子住在城堡裡。"
"princess","公主","The princess wore a beautiful dress.","公主穿著一件漂亮的洋裝。"
"soldier","士兵","The soldier helped protect the town.","士兵幫忙保護城鎮。"
"dragon","龍","The dragon appears in the story.","龍出現在故事裡。"
"quiz","小考；測驗","We have an English quiz today.","我們今天有英文小考。"
"check","檢查","Please check your answers.","請檢查你的答案。"
"much","很多","Thank you very much!","非常感謝你！"
"habit","習慣","She has a habit of reading at night.","她有夜間閱讀的習慣。"
"word","zh","en_sentence","zh_sentence"
"sentence","句子","Write a sentence using this word.","用這個字寫一句話。"
"mark","記號；分數","Put a mark next to the answer.","在答案旁做一個記號。"
"dictionary","字典","Look it up in the dictionary.","在字典裡查一下。"
"point","指向；重點","Can you point to the map?","你可以指一下地圖嗎？"
"grade","年級；分數","He is in the 6th grade.","他念六年級。"
"mistake","錯誤","It was just a small mistake.","那只是一個小錯誤。"
"elementary school","小學","My brother goes to elementary school.","我弟弟讀小學。"
"bench","長椅","We sat on a bench in the park.","我們坐在公園的長椅上。"
"seat","座位","Please take your seat.","請坐下。"
"office","辦公室","She works in an office downtown.","她在市中心的辦公室工作。"
"post office","郵局","I mailed a letter at the post office.","我在郵局寄了一封信。"
"side","邊","Sit on the other side.","坐在另一邊。"
"way","路；方法","This is the way to the station.","這是去車站的路。"
"nobody","沒有人","Nobody was in the classroom.","教室裡沒有人。"
"guy","傢伙；男孩","That guy is my cousin.","那個男孩是我的表哥。"
"group","群體","Our group finished early.","我們這組提早完成了。"
"country","國家","Taiwan is my country.","台灣是我的國家。"
"program","節目；程式","I watched a TV program last night.","我昨晚看了一個電視節目。"
"straw","吸管；稻草","She drinks juice with a straw.","她用吸管喝果汁。"
"knife","刀子","Be careful with that knife.","小心那把刀。"
"fork","叉子","Use a fork to eat the salad.","用叉子吃沙拉。"
"spoon","湯匙","Use a spoon to eat soup.","用湯匙喝湯。"
"lovely","可愛的；美好的","What a lovely day!","多麼美好的一天！"
"clear","清楚的","Is my explanation clear?","我的解釋清楚嗎？"
"correct","正確的","That is the correct answer.","那是正確的答案。"
"far","遙遠的","The station is far from here.","車站離這裡很遠。"
"safe","安全的","Always wear a helmet to stay safe when you ride a bike.","騎腳踏車時一定要戴安全帽才能保持安全。"
"sharp","鋒利的；劇烈的","Be careful with that knife; it is very sharp.","要小心那把刀，它非常鋒利。"
"lazy","懶散的","The lazy cat sleeps on the sofa all day.","那隻懶散的貓整天躺在沙發上睡覺。"
"glad","高興的","I am glad we won the game today.","我很高興我們今天贏得了比賽。"
"excellent","優秀的","She did an excellent job on her science project.","她在科學專題上做得很優秀。"
"over","結束；超過","The cat jumped over the wall to catch the bird.","那隻貓跳過牆壁去追那隻鳥。"
"pass","經過；通過","We pass the library on our way to school.","我們上學的路上會經過圖書館。"
"fail","不及格；失敗","If you don’t study, you might fail the test.","如果你不讀書，你可能會考試不及格。"
"preparation","準備","Good preparation helped him do well in the contest.","良好的準備幫助他在比賽中表現優異。"
"cheat","作弊","Don’t cheat on the exam; be honest.","考試時不要作弊，要誠實。"
"copy","抄寫；複製","Please copy the notes from the board into your notebook.","請把黑板上的筆記抄到你的筆記本裡。"
"blow","吹","Blow on the hot soup before you eat it.","在吃燙湯前先吹一下。"
"knock","敲；打","Knock gently on the door before you enter.","進屋前請輕輕敲門。"
"rise","上升；升起","The sun will rise at six o’clock tomorrow morning.","明天早上六點太陽會升起。"
"decide","決定","I need to decide which book to read first.","我需要決定先讀哪一本書。"
"notice","注意","Please notice the sign that says ‘Keep Off the Grass.’","請注意寫著『請勿踩踏草皮』的告示。"
"collect","收集","He likes to collect stamps from different countries.","他喜歡收集來自不同國家的郵票。"
"leave","離開；遺忘","Don’t leave your umbrella at school when it rains.","下雨時不要把傘留在學校。"
"treat","款待；對待；處理","She will treat her friends to ice cream after school.","她放學後要請朋友們吃冰淇淋。"
"along","沿著","We walk along the river every weekend.","我們每個週末沿著河邊散步。"
"without","沒有","You cannot leave without a permission slip.","沒有請假單你不能離開。"
"inside","在…的裡面；在裡面","Please stay inside the classroom until the bell rings.","請待在教室裡面直到下課鈴響。"
"repeat","重複","Can you repeat the instructions so everyone can hear them?","你能重複一次指示，讓大家都能聽到嗎？"
"perhaps","或許","Perhaps we can go to the zoo this weekend.","或許我們這個週末可以去動物園。"
"if","如果；是否","Let me know if you need any help.","如果你需要幫助，請告訴我。"
"although","雖然","Although it was raining, they still played soccer.","雖然下雨，他們仍然踢足球。"
"hope","希望","I hope I can visit my grandparents during the holiday.","我希望假期期間可以去探望祖父母。"
"rule","規則；統治；裁決","The teacher explains the rules before we start the game.","老師在我們開始遊戲前說明規則。"
"wish","希望","I wish for good health for my family.","我希望我的家人健康平安。"
"dot","點點","Draw a dot at the end of each sentence.","在每個句子末尾畫一個點。"
"circle","圓圈","Please draw a circle around the correct answer.","請在正確的答案周圍畫一個圓圈。"
"shape","形狀；樣子","What shape is the sun in the drawing?","畫中太陽是什麼形狀？"
"size","尺寸","What size shoes do you wear?","你穿什麼尺寸的鞋？"
"square","正方形；廣場；正方形的","Draw a square on the paper and color it blue.","在紙上畫一個正方形並把它塗成藍色。"
"let","讓","Let me help you carry your backpack.","讓我幫你背書包。"
"yard","碼；庭院","They plant flowers in the front yard.","他們在前庭種花。"
"inch","英吋","Measure the length of the book in inches.","用英吋測量這本書的長度。"
"row","排；列","Please sit in a row during assembly.","請在集合時排成一列。"
"million","百萬","The population of the city is over one million.","這個城市的人口超過一百萬。"
"goose","鵝","A goose swam across the pond.","一隻鵝游過池塘。"
"bug","蟲子","I found a bug crawling on the window.","我發現一隻蟲子在窗戶上爬行。"
"hen","母雞","The hen laid five eggs this morning.","這隻母雞今天早上下了五顆蛋。"
"Halloween","萬聖節","We wear costumes and go trick-or-treating on Halloween.","萬聖節時我們穿上服裝去要糖果。"
"lantern","燈籠；提燈","Children carry lanterns during the mid‐autumn festival.","中秋節時孩子們提著燈籠。"
"ghost","鬼；靈魂","They told ghost stories around the campfire.","他們在營火旁講鬼故事。"
"mask","面具；口罩","He wore a mask at the school play.","他在校劇中戴著面具。"
"doorbell","門鈴","Ring the doorbell when you arrive at her house.","到她家時請按門鈴。"
"surprise","驚喜；(使)驚喜","They planned a surprise party for her birthday.","他們為她的生日策劃了一場驚喜派對。"
"experience","經驗；經歷","She shared her experience of traveling abroad.","她分享了出國旅行的經歷。"
"senior high school","高中","He will start senior high school next year.","他明年將開始讀高中。"
"joy","喜悅","She felt great joy when she saw her test score.","當她看到考試成績時感到非常喜悅。"
"oil","油","Add a little oil to the pan before cooking.","煮飯前先在鍋裡加一點油。"
"gas","瓦斯；汽油","We need to fill the car with gas before the trip.","旅行前我們需要把車加滿汽油。"
"top","頂部","She stood on the top of the hill and waved.","她站在山頂上揮手。"
"several","數個的","I have visited several countries in Asia.","我已經去過亞洲的數個國家。"
"real","真實的","Is this a real diamond or a fake?","這是真實的鑽石還是假的？"
"dangerous","危險的","It is dangerous to swim in the river after it rains.","雨後在河裡游泳很危險。"
"excited","感到興奮的","She was excited to go on the school trip.","她對校外教學感到很興奮。"
"exciting","令人興奮的","The roller coaster ride was very exciting.","過山車遊樂設施非常令人興奮。"
"scared","感到害怕的","He was scared when he saw the big dog.","看到那隻大狗時他感到很害怕。"
"bored","感到厭煩的","I get bored when there is nothing to do.","沒事做時我會感到厭煩。"
"homework","家庭作業","Please finish your homework before dinner.","請在晚餐前完成你的家庭作業。"
"surprised","感到驚訝的","She was surprised by the unexpected gift.","她對那份意外的禮物感到驚訝。"
"north","北方；向北","The wind is blowing from the north today.","今天風從北方吹來。"
"west","西方；向西","The sun sets in the west every evening.","太陽每天傍晚都在西方落下。"
"east","東方；向東","We saw a beautiful sunrise in the east.","我們在東方看到美麗的日出。"
"south","南方；向南","The river flows toward the south.","河流向南方流去。"
"grow","種植；發展","We grow tomatoes in our garden every summer.","我們每年夏天在花園裡種植番茄。"
"since","自從；因為","She has been happy since she got a new puppy.","自從她得到一隻新小狗後，她一直很開心。"
"traffic","交通","Traffic is heavy on this road during rush hour.","在尖峰時段這條路的交通很擁擠。"
"case","情況","In that case, we should leave early.","在那種情況下，我們應該早點離開。"
"gate","大門","Please wait for me at the school gate.","請在學校大門等我。"
"teenager","青少年","Many teenagers like to listen to pop music.","許多青少年喜歡聽流行音樂。"
"restroom","廁所","Where is the restroom in this building?","這棟建築物的廁所在哪裡？"
"uniform","制服","Students must wear their uniform to school every day.","學生每天都必須穿制服上學。"
"paint","動畫圖；油漆","Please paint the wall blue.","請把牆壁漆成藍色。"
"bridge","橋樑","We walked across the bridge to get to the park.","我們走過橋樑到達公園。"
"airport","機場","They arrived at the airport early in the morning.","他們一大早就到達機場。"
"postcard","明信片","She sent a postcard from her vacation in Japan.","她從日本度假時寄了一張明信片。"
"stair","樓梯","He climbed the stair to reach his room.","他爬樓梯到他的房間。"
"hard-working","勤奮工作的","She is a hard-working student who studies every day.","她是一個每天都勤奮學習的學生。"
"clap","拍（手）","Please clap your hands for the singer.","請為歌手拍手。"
"serious","嚴肅的；認真的","He looks serious during the exam.","他在考試時表情很嚴肅。"
"simple","簡單的","This math problem is very simple.","這道數學題非常簡單。"
"cross","跨越","Cross the street at the crosswalk.","在斑馬線處過馬路。"
"enter","進入","Enter the classroom quietly.","輕聲地進入教室。"
"appear","出現","A rainbow will appear after the rain.","雨後會出現彩虹。"
"space","空位；太空","We need space to play basketball.","我們需要空間來打籃球。"
"lie","說謊；謊言","Don't lie to your parents.","不要對你的父母說謊。"
"shine","發光；照耀","The sun will shine tomorrow.","明天太陽會照耀。"
"pray","祈求；祈禱","We pray for our family’s safety.","我們為家人的平安祈禱。"
"belong","屬於","That book belongs to me.","那本書屬於我。"
"build","建造；建立","They build a sandcastle on the beach.","他們在海灘上建造沙堡。"
"ever","曾經","Have you ever been to Tokyo?","你曾經去過東京嗎？"
"however","然而","However, it started to rain.","然而，開始下雨了。"
"almost","幾乎","I almost missed the bus.","我差點錯過公車。"
"finally","最後；終於","Finally, we finished the project.","最後我們終於完成了專案。"
"quite","相當地","She is quite good at singing.","她唱歌相當好。"
"whether","是否","I don't know whether it will rain.","我不知道是否會下雨。"
"stand","站住；攤子","Please stand in line.","請站隊。"
"except","除了","Everyone went except me.","除了我以外，所有人都去了。"
"club","社團","I joined the art club at school.","我加入了學校的美術社團。"
"chess","西洋棋","They play chess after class.","他們課後下西洋棋。"
"chalk","粉筆","Write on the board with chalk.","用粉筆在黑板上寫字。"
"newspaper","報紙","He reads the newspaper every morning.","他每天早上看報紙。"
"glue","膠水","Use glue to stick the pieces together.","用膠水把零件黏在一起。"
"hurry","匆忙；趕快","Hurry up or we will be late.","快一點，否則我們會遲到。"
"hobby","嗜好","My hobby is drawing.","我的嗜好是畫畫。"
"across","橫越；穿過","We walk across the bridge.","我們穿過那座橋。"
"vest","背心","He wears a vest in winter.","冬天他穿背心。"
"interest","興趣","I have an interest in science.","我對科學有興趣。"
"interested","感興趣的","She is interested in learning English.","她對學英語感興趣。"
"pleasure","快樂；喜悅","It is a pleasure to meet you.","很高興見到你。"
"business","事業","He works in his family's business.","他在家族事業工作。"
"salt","鹽","Add a pinch of salt to the soup.","在湯裡加一小撮鹽。"
"popcorn","爆米花","We eat popcorn at the movie theater.","我們在電影院吃爆米花。"
"bakery","麵包店","The bakery near my house sells fresh bread.","我家附近的麵包店賣新鮮麵包。"
"public","公眾；公共的","This is a public park.","這是一個公共公園。"
"truck","卡車","A truck delivers goods to the store.","卡車把貨物運到商店。"
"apartment","公寓","She lives in an apartment building.","她住在一棟公寓大樓裡。"
"heat","高溫；加熱","The heat in summer is uncomfortable.","夏天的高溫令人不舒服。"
"boss","老闆；上司","Her boss praised her work.","她的老闆讚揚了她的工作。"
"stranger","陌生人","Don't talk to strangers.","不要和陌生人說話。"
"meeting","會議","We have a meeting every Monday.","我們每個星期一都開會。"
"nod","點頭","She gave me a nod to say hello.","她向我點頭打招呼。"
"born","出生的；天生的","He was born in 2008.","他出生於2008年。"
"stupid","愚笨的","That was a stupid mistake.","那是一個愚笨的錯誤。"
"polite","有禮貌的","Be polite to your teachers.","對老師要有禮貌。"
"less","較少的","We have less homework today.","我們今天的作業比較少。"
"possible","可能的","Is it possible to finish early?","有可能提前完成嗎？"
"rich","富有的；豐富的","The rich man donated money to charity.","那位富有的人向慈善機構捐款。"
"brown","棕色(的)","I have a brown backpack.","我有一個棕色的書包。"
"honest","誠實的","Be honest with your friends.","對朋友要誠實。"
"bake","烘焙","My mom will bake a cake for my birthday.","我媽媽會為我的生日烘焙蛋糕。"
"attack","攻擊","The cat tried to attack the mouse.","那隻貓想攻擊那隻老鼠。"
"lend","借出","Can you lend me your pencil?","你能借我你的鉛筆嗎？"
"borrow","借入","May I borrow your eraser?","我可以借你的橡皮擦嗎？"
"pull","拉","Pull the door to open it.","拉一下門就能打開。"
"push","推","Push the button to start.","按下按鈕開始。"
"dig","挖","The dog likes to dig holes.","那隻狗喜歡挖洞。"
"fry","油炸；煎","Fry the egg in a pan.","在平底鍋裡煎蛋。"
"cover","覆蓋；封面","Cover the pot with a lid.","用蓋子把鍋蓋起來。"
"raise","舉起；提高","Please raise your hand.","請舉起你的手。"
"type","打字；類型","I can type fast on the computer.","我可以在電腦上快速打字。"
"follow","跟隨","Follow me, please.","請跟我來。"
"boil","煮沸","Boil the water before drinking it.","喝水前先把水煮沸。"
"below","在?下面","The temperature is below zero.","氣溫在零度以下。"
"above","在...之上","The picture hangs above the sofa.","那幅畫掛在沙發上方。"
"someone","某人","Someone called you earlier.","剛才有人打電話給你。"
"anyone","任何人","Anyone can join the game.","任何人都可以參加這個遊戲。"
"trouble","麻煩","He is in trouble.","他有麻煩了。"
"trick","把戲；惡作劇","The magic trick surprised us.","那個魔術把戲讓我們很驚訝。"
"power","力量；電力","Knowledge is power.","知識就是力量。"
"New Year's Day","元旦","New Year's Day is on January first.","元旦是一月一日。"
"eve","前夕","We had dinner together on the eve of the festival.","我們在節日前夕一起吃晚餐。"
"New Year's Eve","除夕；跨年夜","We watch fireworks on New Year's Eve.","我們在跨年夜看煙火。"
"Chinese New Year","農曆新年","Families get together for Chinese New Year.","家人們在農曆新年團聚。"
"dumpling","餃子","We eat dumplings for dinner.","我們晚餐吃餃子。"
"note","筆記；便條","He left a note on the fridge.","他在冰箱上留了張便條。"
"line","線；行列","Please stand in line.","請排隊。"
"voice","聲音","Her voice is soft and clear.","她的聲音柔和又清楚。"
"wake","醒來；叫醒","I wake up early every morning.","我每天早上很早醒來。"
"screen","螢幕","The teacher shows the video on the screen.","老師在螢幕上播放影片。"
"puppy","幼犬","The puppy plays with a ball in the yard.","幼犬在院子裡玩球。"
"lid","蓋子","Put the lid on the jar after you finish.","用完後把蓋子蓋上罐子。"
"cage","籠子","The bird sings in its cage every morning.","那隻鳥每天早上在籠子裡唱歌。"
"sight","視力；景象","The mountain view is a beautiful sight.","那座山的景象非常美麗。"
"secretary","秘書","The secretary answers phone calls at the office.","秘書在辦公室接電話。"
"list","清單","Write a list of things you need to buy.","寫一張你需要購買物品的清單。"
"pair","一雙；一對","I bought a new pair of shoes today.","我今天買了一雙新鞋。"
"pin","大頭針；別針","Use a pin to attach the note to the board.","用大頭針把便條釘在板子上。"
"pipe","水管","The plumber fixed the broken pipe under the sink.","水電工修好了水槽下壞掉的水管。"
"medium","中等的","He likes his coffee at medium temperature.","他喜歡中等溫度的咖啡。"
"married","已婚的","My aunt is married to a doctor.","我的阿姨已婚，她的丈夫是一位醫生。"
"modern","現代的；時髦的","They live in a modern house with big windows.","他們住在一棟有大窗戶的現代房子裡。"
"foreign","外國的","She studies foreign languages at school.","她在學校學習外國語。"
"national","國家的","They fly the national flag at the town square.","他們在鎮廣場上升起國旗。"
"few","不多的；很少的","Only a few students stayed after class for help.","只有少數學生下課後留下來請教。"
"useful","實用的","This dictionary is very useful for learning new words.","這本字典對學習新單字非常實用。"
"helpful","有幫助的","The tutor gave me helpful tips for studying.","家教給了我一些有幫助的學習建議。"
"least","最少的","She finished her homework in the least amount of time.","她用最少的時間完成了作業。"
"blind","盲的","The blind student reads with a special device.","那位盲人學生用特殊設備閱讀。"
"tidy","整齊的；整理","Please tidy your desk before you leave.","離開前請整理好你的書桌。"
"believe","相信","I believe in working hard to achieve my goals.","我相信努力工作可以實現我的目標。"
"celebrate","慶祝","We celebrate Teacher's Day with a small party.","我們用小型派對慶祝教師節。"
"laugh","笑","They laugh at the funny joke during recess.","課間休息時他們因為那個好笑的笑話而笑。"
"lead","領導","She will lead the team in the next game.","她將在下一場比賽中領導球隊。"
"playground","遊樂場；運動場","We meet our friends at the playground after school.","放學後我們在遊樂場與朋友碰面。"
"set","創立；擺設","Please set the table before dinner.","請在晚餐前擺好桌子。"
"bite","咬","Be careful, the dog might bite.","小心，那隻狗可能會咬人。"
"die","死亡","The flowers will die without water.","花若沒水就會枯死。"
"somewhere","某處","I left my book somewhere in the classroom.","我把書放在教室的某處。"
"abroad","到國外；在國外","She studies abroad next year.","她明年到國外念書。"
"beside","在旁邊","Sit beside me on the bench.","坐在長椅的我的旁邊。"
"example","例子","The teacher gave an example to explain the rule.","老師給了一個例子來解釋這個規則。"
"knowledge","知識","Reading books helps you gain knowledge.","閱讀書籍幫助你獲得知識。"
"matter","事情","It does not matter if you are late once.","偶爾遲到一次並不重要。"
"excuse","藉口；道歉；原諒","Excuse me for being late to class.","對不起，我上課遲到了。"
"magic","魔力；魔術；魔術的","He performed a magic trick with cards.","他用牌表演了一個魔術。"
"planet","星球；行星","Earth is our home planet.","地球是我們的家園星球。"
"base","基地；總部","The scouts set up base near the lake.","童子軍在湖邊建立了基地。"
"typhoon","颱風","The typhoon will reach us tomorrow.","颱風明天會到達我們這裡。"
"kilogram","公斤","This bag of rice weighs one kilogram.","這袋米重一公斤。"
